Date time,Temperature,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
1/15/2020 18:00,29.6,12.6,8,30,52.37,Partially cloudy
1/15/2020 19:00,27.6,8.8,9.9,27.3,64.2,Partially cloudy
1/15/2020 20:00,27,7.6,10,27,69.73,Partially cloudy
1/15/2020 21:00,27,7.4,10,27,65.56,Partially cloudy
1/15/2020 22:00,26.9,9.4,10.2,27.3,67,Partially cloudy
1/15/2020 23:00,26.4,6.3,8,35.2,70.43,Partially cloudy
1/16/2020 0:00,26,7.6,8,35.2,73.97,Partially cloudy
1/16/2020 1:00,25.8,9.4,9.1,34.7,75.23,Partially cloudy
1/16/2020 2:00,25,7.8,8,35.2,83.45,Partially cloudy
1/16/2020 3:00,24,4.3,8,35.2,88.6,Partially cloudy
1/16/2020 4:00,23,5.4,8.8,35.6,88.93,Partially cloudy
1/16/2020 5:00,23,8.3,6.6,35.2,94.11,Partially cloudy
1/16/2020 6:00,22.6,7.8,4.8,35.2,96.45,Partially cloudy
1/16/2020 7:00,23.4,6.7,5,32.8,92.03,Partially cloudy
1/16/2020 8:00,26.4,5.4,5,27,76.77,Partially cloudy
1/16/2020 9:00,27.4,6.7,5.6,27,70.61,Partially cloudy
1/16/2020 10:00,30.3,7.6,6.8,24.5,56.6,Clear
1/16/2020 11:00,31.4,7.8,7.4,27,48.32,Partially cloudy
1/16/2020 12:00,32.4,7.6,8,35.2,42.39,Partially cloudy
1/16/2020 13:00,33.3,7.2,9.1,48.1,38.36,Partially cloudy
1/16/2020 14:00,34,8.6,8,50,36.39,Partially cloudy
1/16/2020 15:00,34,5.4,7.6,50,36.39,Partially cloudy
1/16/2020 16:00,32.9,2,8.2,46.2,39.87,Partially cloudy
1/16/2020 17:00,30.6,14.8,8,50,56.62,Partially cloudy
1/16/2020 18:00,29.6,12.2,7,35.2,59.97,Partially cloudy
1/16/2020 19:00,28.9,9.7,9.1,34.7,65.05,Partially cloudy
1/16/2020 20:00,28.6,9.4,8,35.2,67.55,Partially cloudy
1/16/2020 21:00,27.6,8.3,8,35.2,73.39,Partially cloudy
1/16/2020 22:00,26.9,5.2,9.1,34.7,78.55,Partially cloudy
1/16/2020 23:00,27,5.2,8,35.2,78.78,Partially cloudy
1/17/2020 0:00,27,6.7,8,35.2,75.99,Partially cloudy
1/17/2020 1:00,25.6,5.2,9.1,32.8,83.66,Partially cloudy
1/17/2020 2:00,24.6,5.4,8,35.2,85.5,Partially cloudy
1/17/2020 3:00,24.4,6.7,8,35.2,88.63,Partially cloudy
